"yearStr","nbPrix"
"2001","30"
"2019","28"
"2022","28"
"1996","26"
"2000","26"
"2002","26"
"2005","26"
"2009","26"
"2011","26"
"2013","26"
"2014","26"
"2018","26"
"2021","26"
"1973","24"
"1974","24"
"1975","24"
"1988","24"
"1994","24"
"1995","24"
"1997","24"
"1998","24"
"2004","24"
"2007","24"
"2008","24"
"2017","24"
"2020","24"
"2024","24"
"1963","22"
"1972","22"
"1977","22"
"1978","22"
"1979","22"
"1980","22"
"1981","22"
"1986","22"
"1990","22"
"1993","22"
"2003","22"
"2010","22"
"2015","22"
"2016","22"
"2023","22"
"1969","20"
"1989","20"
"2012","20"
"1956","18"
"1958","18"
"1965","18"
"1970","18"
"1976","18"
"1982","18"
"1984","18"
"1987","18"
"2006","18"
"1946","16"
"1947","16"
"1950","16"
"1954","16"
"1962","16"
"1964","16"
"1967","16"
"1985","16"
"1902","14"
"1903","14"
"1908","14"
"1909","14"
"1927","14"
"1929","14"
"1936","14"
"1937","14"
"1945","14"
"1951","14"
"1952","14"
"1959","14"
"1968","14"
"1983","14"
"1991","14"
"1992","14"
"1999","14"
"1901","12"
"1904","12"
"1906","12"
"1907","12"
"1911","12"
"1912","12"
"1922","12"
"1925","12"
"1926","12"
"1931","12"
"1934","12"
"1944","12"
"1949","12"
"1953","12"
"1957","12"
"1960","12"
"1961","12"
"1966","12"
"1971","12"
"1905","10"
"1910","10"
"1913","10"
"1920","10"
"1921","10"
"1923","10"
"1930","10"
"1932","10"
"1933","10"
"1935","10"
"1938","10"
"1939","10"
"1955","10"
"1915","8"
"1917","8"
"1919","8"
"1928","8"
"1943","8"
"1948","8"
"1914","6"
"1924","6"
"1918","4"
"1916","2"
