"firstName","lastName","birthCountry","orgName","orgCountry"
"César","Milstein","Argentina","MRC Laboratory of Molecular Biology","United Kingdom"
"Adolfo","Pérez Esquivel","Argentina","nan","nan"
"Carlos","Saavedra Lamas","Argentina","nan","nan"
"J. Robin","Warren","Australia","nan","nan"
"Lawrence","Bragg","Australia","Victoria University","United Kingdom"
"Sir Howard","Florey","Australia","University of Oxford","United Kingdom"
"Aleksandr M.","Prokhorov","Australia","P.N. Lebedev Physical Institute","Russia"
"Aleksandr M.","Prokhorov","Australia","P.N. Lebedev Physical Institute","USSR (now Russia)"
"Peter C.","Doherty","Australia","St. Jude Children's Research Hospital","USA"
"Peter C.","Doherty","Australia","St. Jude Children's Research Hospital","United States"
"Elizabeth H.","Blackburn","Australia","University of California","USA"
"Elizabeth H.","Blackburn","Australia","University of California","United States"
"John","Cornforth","Australia","University of Sussex","United Kingdom"
"Peter","Handke","Austria","nan","nan"
"Elfriede","Jelinek","Austria","nan","nan"
"Alfred","Fried","Austria","nan","nan"
"Eric","Kandel","Austria","Columbia University","USA"
"Eric","Kandel","Austria","Columbia University","United States"
"Erwin","Schrödinger","Austria","Berlin University","Germany"
"Friedrich","von Hayek","Austria","nan","nan"
"Karl","von Frisch","Austria","Zoologisches Institut der Universität München","Germany"
"Martin","Karplus","Austria","Université de Strasbourg","France"
"Max F.","Perutz","Austria","MRC Laboratory of Molecular Biology","United Kingdom"
"Walter","Kohn","Austria","University of California","USA"
"Walter","Kohn","Austria","University of California","United States"
"Wolfgang","Pauli","Austria","Princeton University","USA"
"Wolfgang","Pauli","Austria","Princeton University","United States"
"Richard","Kuhn","Austria-Hungary (now Austria)","Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung","Germany"
"Vladimir","Prelog","Austria-Hungary (now Bosnia and Herzegovina)","Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)","Switzerland"
"Leopold","Ruzicka","Austria-Hungary (now Croatia)","Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)","Switzerland"
"Carl","Cori","Austria-Hungary (now Czech Republic)","Washington University","USA"
"Carl","Cori","Austria-Hungary (now Czech Republic)","Washington University","United States"
"Gerty","Cori","Austria-Hungary (now Czech Republic)","Washington University","USA"
"Gerty","Cori","Austria-Hungary (now Czech Republic)","Washington University","United States"
"Jaroslav","Heyrovsky","Austria-Hungary (now Czech Republic)","Polarographic Institute of the Czechoslovak Academy of Science","Czechoslovakia (now Czech Republic)"
"Jaroslav","Seifert","Austria-Hungary (now Czech Republic)","nan","nan"
"Albert","Szent-Györgyi","Austria-Hungary (now Hungary)","Szeged University","Hungary"
"Eugene","Wigner","Austria-Hungary (now Hungary)","Princeton University","USA"
"Eugene","Wigner","Austria-Hungary (now Hungary)","Princeton University","United States"
"George","de Hevesy","Austria-Hungary (now Hungary)","Stockholm University","Sweden"
"Isidor Isaac","Rabi","Austria-Hungary (now Poland)","Columbia University","USA"
"Isidor Isaac","Rabi","Austria-Hungary (now Poland)","Columbia University","United States"
"Fritz","Pregl","Austria-Hungary (now Slovenia)","Graz University","Austria"
