"currencyCountryLabel","currencyLabel","nbPopUsing","nbNobelPrize"
"Belarus","Belarusian Ruble","9400000","1"
"Canada","Canadian Dollar","38000000","4"
"Austria","Euro","340000000","1"
"Cyprus","Euro","340000000","1"
"Sweden","Swedish Krona","10000000","2"
"Israel","New Israeli Sheqel","9300000","1"
"Canada","Canadian Dollar","38000000","4"
"Poland","Zloty","38000000","1"
"Finland","Euro","340000000","1"
"India","Indian Rupee","1390000000","2"
"Italy","Euro","340000000","1"
"Netherlands","Euro","340000000","3"
"Norway","Norwegian Krone","5400000","3"
"France","Euro","340000000","4"
"Hungary","Forint","9700000","1"
"Germany","Euro","340000000","1"
