"country","nbFemaleAthletes","nbFemaleNobel","ratioAthletes","ratioNobel","populationTotal"
"Kenya","8","1","8 / 54027487","1/ 54027487","54027487"
"Norway","7","1","7 / 5434319","1/ 5434319","5434319"
"Austria","6","1","6 / 8939617","1/ 8939617","8939617"
"Romania","6","1","6 / 19659267","1/ 19659267","19659267"
"United States","57","17","57 / 338289857","17/ 338289857","338289857"
"France","48","6","48 / 64626628","6/ 64626628","64626628"
"Australia","45","1","45 / 26177413","1/ 26177413","26177413"
"China","41","1","41 / 1425887337","1/ 1425887337","1425887337"
"Israel","4","1","4 / 9038309","1/ 9038309","9038309"
"Italy","39","2","39 / 59037474","2/ 59037474","59037474"
"Canada","31","2","31 / 38454327","2/ 38454327","38454327"
"Poland","24","4","24 / 39857145","4/ 39857145","39857145"
"Hungary","21","1","21 / 9967308","1/ 9967308","9967308"
"Egypt","16","1","16 / 110990103","1/ 110990103","110990103"
"Sweden","15","2","15 / 10549347","2/ 10549347","10549347"
"South Korea","13","1","13 / 51815810","1/ 51815810","51815810"
"Ukraine","13","1","13 / 39701739","1/ 39701739","39701739"
"Czech Republic","10","2","10 / 10493986","2/ 10493986","10493986"
"Yemen","1","1","1 / 33696614","1/ 33696614","33696614"
"Liberia","1","2","1 / 5302681","2/ 5302681","5302681"
